Year,Connections,Total ,Slum ,Non-Slum,Demand,Consumption
01-2014,9703.5,349258.1974,87513.23384,261744.9635,37940409.89,2655046.996
02-2014,9739,349587.0822,87595.64213,261991.44,37811107.44,2647108.576
03-2014,9739,349915.967,87678.05043,262237.9165,38005061.11,2655046.996
04-2014,9774.5,350244.8518,87760.45872,262484.393,38134363.56,2662985.417
05-2014,9774.5,350573.7366,87842.86702,262730.8696,38392968.45,2678862.257
06-2014,9774.5,350902.6214,87925.27532,262977.3461,38263666.01,2670923.837
07-2014,9774.5,351231.5062,88007.68361,263223.8226,38262372.98,2670844.453
08-2014,9774.5,351560.391,88090.09191,263470.2991,38133070.53,2662906.032
09-2014,9774.5,351889.2758,88172.5002,263716.7756,38120140.29,2662112.19
10-2014,9774.5,352218.1606,88254.9085,263963.2521,38055489.06,2658142.98
11-2014,9774.5,352547.0454,88337.31679,264209.7286,37796884.17,2642266.139
12-2014,9774.5,352875.9302,88419.72509,264456.2051,37921014.52,2689579.125
01-2015,9774.5,353204.815,88502.13338,264702.6816,43908393.11,2703780.337
02-2015,9774.5,353540.3596,88586.21041,264954.1492,44037695.56,2711718.757
03-2015,9774.5,353875.9041,88670.28744,265205.6167,44166998.01,2719657.178
04-2015,10200.5,354211.4487,88754.36446,265457.0843,44296300.46,2727595.598
05-2015,10626.5,354546.9933,88838.44149,265708.5518,44554905.36,2743472.439
06-2015,10768.5,354882.5379,88922.51852,265960.0193,44296300.46,2727595.598
07-2015,10839.5,355218.0824,89006.59554,266211.4869,44102346.79,2715687.968
08-2015,10910.5,355553.627,89090.67257,266462.9544,43714439.44,2691872.706
09-2015,10910.5,355889.1716,89174.7496,266714.422,43701509.2,2691078.864
10-2015,10910.5,356224.7162,89258.82662,266965.8895,43442904.3,2675202.024
11-2015,10910.5,356560.2607,89342.90365,267217.3571,43248950.63,2663294.393
12-2015,10910.5,356895.8053,89426.98068,267468.8246,41878344.68,2579147.137
01-2016,10910.5,357231.3499,89511.0577,267720.2922,39169521.86,2408903.337
02-2016,10910.5,357567.7427,89595.34728,267972.3955,39040219.42,2400964.917
03-2016,10910.5,357904.1356,89679.63686,268224.4987,39169521.86,2408903.337
04-2016,10766.5,358240.5284,89763.92644,268476.602,39298824.31,2416841.757
05-2016,10526.5,358576.9213,89848.21602,268728.7053,39557429.21,2432718.598
06-2016,10502.5,358913.3142,89932.5056,268980.8086,39298824.31,2416841.757
07-2016,10478.5,359249.707,90016.79518,269232.9118,39104870.64,2404934.127
08-2016,10478.5,359586.0999,90101.08476,269485.0151,38716963.3,2381118.866
09-2016,10478.5,359922.4927,90185.37434,269737.1184,38523009.62,2380325.024
10-2016,10478.5,360258.8856,90269.66392,269989.2217,38264404.73,2380325.024
11-2016,10478.5,360595.2784,90353.9535,270241.3249,38070451.06,2368417.393
12-2016,10478.5,360931.6713,90438.24307,270493.4282,40268592.67,2411284.863
01-2017,10478.5,361268.0641,90522.53265,270745.5315,43756325.61,2576651.42
02-2017,10478.5,361608.2582,90607.77471,271000.4835,43627023.17,2568713
03-2017,10478.5,361948.4523,90693.01676,271255.4356,43885628.06,2584589.841
04-2017,10448.5,362288.6464,90778.25881,271510.3876,44208884.18,2604435.892
05-2017,10412.5,362628.8405,90863.50086,271765.3397,44467489.08,2620312.733
06-2017,10406.5,362969.0346,90948.74291,272020.2917,44208884.18,2604435.892
07-2017,10215,363309.2287,91033.98496,272275.2437,44014930.51,2592528.261
08-2017,10215,363649.4228,91119.22702,272530.1958,43627023.17,2568713
09-2017,10215,363989.6169,91204.46907,272785.1478,43368418.27,2552836.159
10-2017,10215,364329.811,91289.71112,273040.0999,43109813.37,2536959.318
11-2017,10215,364670.0051,91374.95317,273295.0519,42980510.93,2529020.898
12-2017,10215,365010.1992,91460.19522,273550.0039,42269347.46,2485359.586
01-2018,10215,365350.3933,91545.43727,273804.956,46371280.11,2645748.92
02-2018,10215,,,,46241977.67,2637810.5
03-2018,10215,,,,46500582.56,2653687.341
04-2018,10215,,,,46823838.68,2673533.392
05-2018,10215,,,,47082443.58,2689410.233
06-2018,10215,,,,46823838.68,2673533.392
07-2018,10215,,,,46629885.01,2661625.761
08-2018,10215,,,,46241977.67,2637810.5
09-2018,10215,,,,45983372.77,2621933.659
10-2018,10215,,,,45724767.87,2606056.818
11-2018,10215,,,,45595465.43,2598118.398
12-2018,10208,,,,44884301.96,2554457.086